JosserandSetID	CORR_SET	SUBSET	SOUND_FROM	SOUND_TO	ENVIRONMENT_LEFT	ENVIRONMENT_RIGHT	JosserandID	COMP	PRESENT	SOURCE	PAGE
Josserand078	26a	1	*e 	a; e; i	#x	ʔ{e, ũ}#	119, 121	yes	yes	josserand1983mixtec	429
Josserand079	26a	1	*e 	a; e	#x	CV(ʔ)#	55, 64, 102, 120, 181	yes	yes	josserand1983mixtec	429
Josserand080	26b	1	*e 	a; e	x	#	33, 101	yes	yes	josserand1983mixtec	430
Josserand081	26b	2	*ẽ 	a; e; i	x	ʔ#	16, 17, 109, 125, 151	yes	yes	josserand1983mixtec	430
Josserand082	27	1	*e 	a; e	#kʷ, #w		20, 31, 32, 115	yes	yes	josserand1983mixtec	433
Josserand083	27	2	*e 	a; e; u; i; o 	w	(ʔ)#	6, 7, 29, 34, 101, 139, 174	yes	yes	josserand1983mixtec	433
Josserand084	28	1	*e 	a; e	#y		10, 25, 43, 146	yes	yes	josserand1983mixtec	436
Josserand085	28	2	*e 	e; i	y	#	163	yes	yes	josserand1983mixtec	436
Josserand086	29	1	*e 	e; i; u; a		(ʔ)yi	97, 161, 187	yes	yes	josserand1983mixtec	440
Josserand087	29	1	*e 	e; a; i		ye, ʔya	159, 162, 163	yes	yes	josserand1983mixtec	440
Josserand088	29	1	*e 	a; o; e: i		(ʔ)yu	24, 58, 168	yes	yes	josserand1983mixtec	440
Josserand089	29	1	*e 	a; e: i	kʷ	y{ũ, ɨ̃}ʔ	56, 185	yes	yes	josserand1983mixtec	440
