ID	CONCEPT	GLOSS	COGIDS	DOCULECT	SOURCE_ORIGINAL	SOURCE_ORTHOGRAPHIC	TOKENS_SOURCE	TOKENS	COMMENT	SOURCE
18053	RAIN (PRECIPITATION)	lluvia	586	SanAgustinAtenangoMixtec	(ku̧u̧)-haƀi	haƀi	h a β i	h a β i	NA	josserand1983mixtec
18054	WHITE	blanco	844	SantoTomasOcotepecMixtec	kʷīxí̧	kʷīxí̧	kʷ i ³ x ĩ ⁵	kʷ i ³ x ĩ ⁵	NA	durr1987preliminary
18055	BIG (SINGULAR)	grande.SG	44	SanJeronimoProgresoMixtec	káhnū	káhnū	k a ⁵ ʔ n u ³	k a ⁵ ʔ n u ³	NA	shields1988syntactic
18058	BROTHER (OF MAN)	hermano de hombre	84	SanEstebanAtatlahucaMixtec	ñani	ñani	ɲ a ³ n i ³	ɲ a ³ n i ³	NA	alexander1980gramatica
18061	SALT	sal	624	SantiagoTlazoyaltepecMixtec	ñɨ̧ɨ̧	ñɨ̧ɨ̧	ɲ ɨ̃ ɨ̃	ɲ ɨ ɨ̃	NA	josserand1983mixtec
18062	SQUIRREL	ardilla	698	SantaAnaCuauhtemocMixtec	kʷȩñu̧	kʷȩñu̧	kʷ ẽ ɲ ũ	kʷ ẽ ɲ u	NA	josserand1983mixtec
18063	FEATHER	pluma	227	SanLorenzoMixtec	tu̧mi̧	tu̧mi̧	t ũ m ĩ	t u m i	NA	josserand1983mixtec
18064	WING	ala	853	SanLorenzoMixtec	ⁿdʸiči̧	ⁿdʸiči̧	ⁿdʲ i tʃ ĩ	ⁿd i tʃ ĩ	NA	josserand1983mixtec
18065	SQUASH	calabaza	570	TepejilloMixtec	iki	iki	i k i	i k i	NA	josserand1983mixtec
18066	SUGAR CANE	caña	734	TepejilloMixtec	ⁿdòò	ⁿdòò	ⁿd o ¹ o ¹	ⁿd o ¹ o ¹	NA	josserand1983mixtec
18067	FIVE	cinco	244	SanBartolomeYucuaneMixtec	u̧ʔu̧	u̧ʔu̧	ũ ʔ ũ	ũ ʔ ũ	NA	josserand1983mixtec
18068	SIX	seis	652	SanBartolomeYucuaneMixtec	i̧ñu̧	i̧ñu̧	ĩ ɲ ũ	i ɲ u	NA	josserand1983mixtec
18069	FURROW	surco	1102	PiedraAzulMixtec	í'tsin	í'tsin	i ⁵ ʔ ts ĩ ³	i ⁵ ʔ ts ĩ ³	NA	mendoza2020vocabulario
18070	SWELLING	hinchazón	4 742	SanPedroySanPabloTeposcolula1600Mixtec	te-kʷeye	te-kʷeye	t ɨ + kʷ e j e	t ɨ + kʷ e j e	NA	josserand1983mixtec
18071	PIMPLE	grano (de piel)	529	SanPedroySanPabloTeposcolula1600Mixtec	deye	deye	ⁿd ɨ j ɨ	ⁿd ɨ j ɨ	NA	alvarado1962vocabulario
18072	NIGHT TIME	de noche	481	SantiagoTlazoyaltepecMixtec	ni̧u̧	ni̧u̧	n ĩ ũ	n i ũ	NA	josserand1983mixtec
18074	CAT	gato	88	SantaCruzBravoMixtec	(mi̧štno̧)	mi̧štno̧	m ĩ ʃ tⁿ õ	m i ʃ tⁿ õ	NA	josserand1983mixtec
18079	TOMATO	jitomate	9 775	XayacatlanBravoMixtec	sì-nà̧nà̧	sì-nà̧nà̧	s i ¹ + n ã ¹ n ã ¹	s i ¹ + n a ¹ n a ¹	NA	josserand1983mixtec
18080	VULTURE	zopilote	838	XochapaMixtec	mbelo	mbelo	ᵐb e ³ l o ³	ᵐb e ³ l o ³	NA	stark2013diccionario
18081	TWO	dos	811	SantaMariaYucunicocoMixtec	ʔùvì	ʔùvì	ʔ u ¹ β i ¹	u ¹ β i ¹	NA	josserand1983mixtec
18085	SIX	seis	652	SanBartoloSoyaltepecMixtec	i̧ño̧	i̧ño̧	ĩ ɲ õ	i ɲ o	NA	josserand1983mixtec
18086	SEVEN	siete	638	SanBartoloSoyaltepecMixtec	usa	usa	u s a	u s a	NA	josserand1983mixtec
18088	FLOWER	flor	246	SantaMariaZacatepecMixtec	i²ta²	i²ta²	i ³ t a ³	i ³ t a ³	NA	swanton2021observaciones
18089	FAR	lejos	212	YucunaniMixtec	tsíka	tsíka	ts i ⁵ k a ³	ts i ⁵ k a ³	NA	salazar2020yucunani
18090	SEVEN	siete	638	SantaMariaZacatepecMixtec	uča	uča	u tʃ a	u tʃ a	NA	josserand1983mixtec
18093	BEESWAX	cera	33	SanMiguelAchiutlaMixtec	ñu̧ma̧	ñu̧ma̧	ɲ ũ m ã	ɲ u m a	NA	josserand1983mixtec
18095	CAT	gato	91	SantaMariaApazcoMixtec	wilu	wilu	w i l u	w i l u	NA	josserand1983mixtec
18096	DEW	rocío	167	SanMiguelChicahuaMixtec	žužu	žužu	ʒ u ʒ u	ʒ u ʒ u	NA	josserand1983mixtec
18097	HORN (ANATOMY)	cuerno	350	SantaCatarinaEstetlaMixtec	ⁿdɨkɨ	ⁿdɨkɨ	ⁿd ɨ k ɨ	ⁿd ɨ k ɨ	NA	josserand1983mixtec
18098	NET	red, rede	469	SanMiguelElGrandeMixtec	ñu̧nu̧	ñu̧nu̧	ɲ ũ ³ n ũ ³	ɲ u ³ n u ³	NA	josserand1983mixtec
18102	COCKROACH	cucaracha	9 59	SantaMariaHuazolotitlanMixtec	ti-tʸeʔe	ti-tʸeʔe	t i + tʲ e ʔ e	t i + tʲ e ʔ e	NA	josserand1983mixtec
18103	SMOKE (EXHAUST)	humo	682	SantiagoChazumbaMixtec	ñu̧ʔma̧	ñu̧ʔma̧	ɲ ũ ʔ m ã	ɲ u ʔ m a	NA	josserand1983mixtec
18105	HAWK	gavilán	192	SanAgustinChayucoMixtec	tasu̧	tasu̧	t a s ũ	t a s ũ	NA	josserand1983mixtec
18106	TASTY	sabroso	755	SanPedroJicayanMixtec	asi	asi	a s i	a s i	NA	josserand1983mixtec
18107	MOON	luna	430	CahuatacheMixtec	yòò	yòò	j o ¹ o ¹	j o ¹ o ¹	NA	durr1987preliminary
18108	CAT	gato	91	SantaCruzItundujiaMixtec	ƀilu	ƀilu	β i l u	β i l u	NA	josserand1983mixtec
18109	YESTERDAY	ayer	879	SantiagoIxtaltepecMixtec	iku	iku	i k u	i k u	NA	josserand1983mixtec
18111	BIG (SINGULAR)	grande.SG	44	SantaMariaChigmecatitlanMixtec	kaʔnu̧	kaʔnu̧	k a ʔ n ũ	k a ʔ n u	NA	josserand1983mixtec
18112	OWNER	dueño, señor	485 512	SanAgustinTlacotepecMixtec	xi-toʔo	xi-toʔo	x i + t o ʔ o	x i + t o ʔ o	NA	josserand1983mixtec
18113	WATER	agua	402	SanPedroJocotipacMixtec	ⁿduȼa	ⁿduȼa	ⁿd u ts a	ⁿd u ts a	NA	josserand1983mixtec
18114	SMOOTH	liso/a	660	SantiagoIxtayutlaMixtec	ⁿdɨɨ	ⁿdɨɨ	ⁿd ɨ ʔ β ɨ	ⁿd ɨ ʔ β ɨ	NA	josserand1983mixtec
18117	CORN FIELD	milpa	145	SanJuanColoradoMixtec	itù	itù	i ³ t u ¹	i ³ t u ¹	NA	stark1986diccionario
18118	BEAN	frijol(es)	24	CosoltepecMixtec	ⁿduči	ⁿduči	ⁿd u tʃ i	ⁿd u tʃ i	NA	josserand1983mixtec
18121	FISH	pescado	9 242	SanPedroMolinosMixtec	čākā	č-ākā	tʃ + a ³ k a ³	tʃ + a ³ k a ³	NA	durr1987preliminary
18122	YESTERDAY	ayer	879	SanEstebanAtatlahucaMixtec	icu	icu	i ³ k u ³	i ³ k u ³	NA	alexander1980gramatica
18123	TROUSERS	pantalón	804	CuyamecalcoVillaZaragozaMixtec	ti̧ʔi̧	ti̧ʔi̧	t ĩ ʔ ĩ	t ĩ ʔ ĩ	NA	josserand1983mixtec
18125	MOTHER	madre	432	ElJicaralMixtec	nána	nána	n a ⁵ n a ³	n a ⁵ n a ³	NA	martin2020diccionario
18126	GOURD BOWL	jícara	291	ElJicaralMixtec	yaxín	yaxín	j a ³ ʃ ĩ ⁵	j a ³ ʃ ĩ ⁵	NA	martin2020diccionario
18127	GARBAGE	basura	279	SanJuanMixtepecMixtec	mi̧ʔi̧	mi̧ʔi̧	m ĩ ʔ ĩ	m i ʔ ĩ	NA	josserand1983mixtec
18130	RAT	ratón	444	SantaCatarinaMechoacanMixtec	tɨ̧ñɨ̧	tɨ̧ñɨ̧	t ɨ̃ ɲ ɨ̃	t ɨ ɲ ɨ	NA	josserand1983mixtec
18131	SALTY	salado	628	SanFranciscoSayultepecMixtec	uʔwa	uʔwa	u ʔ w a	u ʔ w a	NA	josserand1983mixtec
18133	MOUTH	boca	447	LaBateaMixtec	yu'ú	yu'ú	j u ³ ʔ u ⁵	j u ³ ʔ u ⁵	NA	ramirez2020vocabulario
18134	BED	cama, lecho	26	SantaMariaJicaltepecMixtec	čito	čito	tʃ i t o	tʃ i t o	NA	josserand1983mixtec
18135	EAR	oreja	194	SanAntonioTepetlapaMixtec	soʔo	soʔo	s o ʔ o	s o ʔ o	NA	josserand1983mixtec
18137	YELLOW	amarillo	876	LaBateaMixtec	kwáan	kwáan	kʷ ã ⁵ ã ¹	kʷ ã ⁵ ã ¹	NA	ramirez2020vocabulario
18139	WORKING OR WORK	trabajo	870	SantiagoJamiltepecMixtec	tyīñō	tyīñō	tʲ i ³ ɲ o ³	t i ³ ɲ o ³	NA	johnson1988syntactic
18140	FOOT	pie	258	SanPedroAtoyacMixtec	čaʔa	čaʔa	tʃ a ʔ a	tʃ a ʔ a	NA	josserand1983mixtec
18141	TROUSERS	pantalón	802	SantiagoNuyooMixtec	žātū	žātū	ʒ a ³ t u ³	ʒ a ³ t u ³	NA	josserand1983mixtec
18142	BLOUSE (WOVEN)	huipil	66	SanFranciscoSayultepecMixtec	šuku̧	šuku̧	ʃ u k ũ	ʃ u k ũ	NA	josserand1983mixtec
18144	WORKING OR WORK	trabajo	870	SanPedroMolinosMixtec	tī̧ñū̧	tī̧ñū̧	t ĩ ³ ɲ ũ ³	t i ³ ɲ u ³	NA	durr1987preliminary
18146	SQUIRREL	ardilla	698	SantiagoPinotepaNacionalMixtec	kʷa̧ñu̧	kʷa̧ñu̧	kʷ ã ɲ ũ	kʷ a ɲ u	NA	josserand1983mixtec
18147	SALTY	salado	628	SanMarcoslaFlorMixtec	ò'vâ	ò'vâ	o ¹ ʔ β a ⁵¹	o ¹ ʔ β a ⁵¹	irregular tones, expected 1.1	anonymous2020san-marcos
18148	CORN	maíz	141	SantaCatarinaTlaltempanMixtec	nu̧ni̧	nu̧ni̧	n ũ n ĩ	n u n i	NA	josserand1983mixtec
18149	FOOT	pie	258	IxpantepecNievesMixtec	sàʔà	sàʔà	s a ¹ ʔ a ¹	s a ¹ ʔ a ¹	NA	josserand1983mixtec
18150	OWNER	dueño, señor	485 512	SanJuanTeitaMixtec	xi-toʔo	xi-toʔo	x i + t o ʔ o	x i + t o ʔ o	NA	josserand1983mixtec
18151	HOUSE	casa	363	SanPedroYosonamaMixtec	ve'e	ve'e	β e ʔ e	β e ʔ e	NA	gittlen2016gramatica
18152	SNAKE	culebra	689 368	SanSebastianTecomaxtlahuacaMixtec	kòò-ká	kòò-ká	k o ¹ o ¹ + k a ⁵	k o ¹ o ¹ + k a ⁵	NA	josserand1983mixtec
18153	CAT	gato	92	SantaMariaAcatepecMixtec	(sumi̧)	sumi̧	s u m ĩ	s u m i	NA	josserand1983mixtec
18154	ROOT	raíz	619	SanMartinDuraznosMixtec	yò'o	yò'o	ʒ o ¹ ʔ o ³	ʒ o ¹ ʔ o ³	irregular tones, expected 3.1	hernandez2020san-martin
18155	GOOD	bueno/a	286	SanAntonioTepetlapaMixtec	waʔa	waʔa	w a ʔ a	w a ʔ a	NA	josserand1983mixtec
18156	ANIMAL	animal	2	SanJuanCoatzospamMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	k ɨ t ɨ	NA	small1990syntactic
18157	FEATHER	pluma	227	SantaLuciaMonteverdeMixtec	tnu̧u̧	tnu̧u̧	tⁿ ũ ũ	tⁿ ũ ũ	NA	josserand1983mixtec
18158	YESTERDAY	ayer	879	SantiagoPinotepaNacionalMixtec	iku	iku	i k u	i k u	NA	josserand1983mixtec
18159	NEAR	cerca	459	SantoDomingoTonahuixtlaMixtec	yači	yači	j a tʃ i	j a tʃ i	NA	josserand1983mixtec
18162	GREEN BEAN	ejote	308	SanAndresYutatioMixtec	ndi̠chi	ndi̠chi	ⁿd i ¹ tʃ i ³	ⁿd i ¹ tʃ i ³	NA	williams2017diccionario
18163	YEAR	año	872	SantiagoTamazolaMixtec	kʷìà	kʷìà	kʷ i ¹ a ¹	kʷ i ¹ a ¹	NA	josserand1983mixtec
18164	GRIDDLE	comal	310	TepangoMixtec	šiyoʔ	šiyoʔ	ʃ i j o ʔ	ʃ i j o ʔ	NA	josserand1983mixtec
18165	TORTILLA	tortilla	789	SanMiguelAhuehuetitlanMixtec	θìtǎ	θìtǎ	θ i ¹ t a ¹⁵	θ i ¹ t a ¹⁵	NA	josserand1983mixtec
18168	NIGHT TIME	de noche	481	SantiagoTilantongoMixtec	ni̧u̧	ni̧u̧	n ĩ ũ	n i ũ	NA	josserand1983mixtec
18171	WATER	agua	222 400	SanJeronimoXayacatlanMixtec	te-kʷii	te-kʷii	t e + kʷ i i	t e + kʷ i i	NA	josserand1983mixtec
18172	RIVER	río	607	SanAgustinAtenangoMixtec	žutʸa	žutʸa	ʒ u tʲ a	ʒ u tʲ a	NA	josserand1983mixtec
18174	BIG (PLURAL)	grande.PL	42	SanJeronimoProgresoMixtec	náhnū	náhnū	n a ⁵ ʔ n u ³	n a ⁵ ʔ n u ³	NA	shields1988syntactic
18176	HEAVY	pesado	326	SanJuanCoatzospamMixtec	vií	vií	β i i ⁵	β i i ⁵	NA	small1990syntactic
18177	MAN	hombre	414	SanEstebanAtatlahucaMixtec	tēe	tēe	t e ¹ e ³	t e ¹ e ³	NA	alexander1980gramatica
18180	CORN	maíz	141	SantaMariaYolotepecMixtec	nu̧ni̧	nu̧ni̧	n ũ n ĩ	n u n i	NA	josserand1983mixtec
18181	CAT	gato	88	SantaAnaCuauhtemocMixtec	wiʰȼi	wiʰȼi	w i̥ ts i	w i ts i	NA	josserand1983mixtec
18182	TAIL	cola	635	SanLorenzoMixtec	su̧ʔma̧	su̧ʔma̧	s ũ ʔ m ã	s ũ ʔ m a	NA	josserand1983mixtec
18184	HONEY	miel	29	TepejilloMixtec	ñu̧ñu̧	ñu̧ñu̧	ɲ ũ ɲ ũ	ɲ u ɲ u	NA	josserand1983mixtec
18185	SEVEN	siete	638	SanBartolomeYucuaneMixtec	uxa	uxa	u x a	u x a	NA	josserand1983mixtec
18186	TASSEL	espiga	751	PiedraAzulMixtec	yojkǒ	yojkǒ	j o ³ h k o ¹⁵	j o ³ h k o ¹⁵	NA	mendoza2020vocabulario
18190	HORN (ANATOMY)	cuerno	350	SantaCruzBravoMixtec	ⁿdiki	ⁿdiki	ⁿd i k i	ⁿd i k i	NA	josserand1983mixtec
18191	SALTY	salado	628	SantiagoYosonduaMixtec	uʔƀa	uʔƀa	u ʔ β a	u ʔ β a	NA	josserand1983mixtec
18194	PRICKLY PEAR CACTUS	nopal	564	XayacatlanBravoMixtec	ƀìʔⁿdʸà	ƀìʔⁿdʸà	β i ¹ ʔ ⁿdʲ a ¹	β i ¹ ʔ ⁿdʲ a ¹	NA	josserand1983mixtec
18195	SALTY	salado	628	SanJorgeNuchitaMixtec	ʔeʔva	ʔeʔva	ʔ e ʔ β a	e ʔ β a	NA	josserand1983mixtec
18196	DOG	perro	9 174	XochapaMixtec	tìnà	t-ìnà	t + i ² n a ²	t + i ² n a ²	NA	stark2013diccionario
18197	FOUR	cuatro	260	SantaMariaYucunicocoMixtec	kù̧mí̧	kù̧mí̧	k ũ ¹ m ĩ ⁵	k u ¹ m i ⁵	NA	josserand1983mixtec
18198	COMB	peine	136	YoloxochitlMixtec	bi¹ka¹	bi¹ka¹	β i ¹ k a ¹	β i ¹ k a ¹	irregular, k missing	amith2021recursos
18200	EIGHT	ocho	207	SanBartoloSoyaltepecMixtec	o̧na̧	o̧na̧	õ n ã	o n a	NA	josserand1983mixtec
18201	MAGUEY	maguey	409	SantaMariaZacatepecMixtec	yaƀiʔ	yaƀiʔ	j a β i ʔ	j a β i ʔ	NA	josserand1983mixtec
18202	HEAVY	pesado	326	YucunaniMixtec	vèe	vèe	β e ¹ e ³	β e ¹ e ³	NA	salazar2020yucunani
18203	EIGHT	ocho	207	SantaMariaZacatepecMixtec	una	una	u n a	u n a	NA	towne2011gramatica
18204	BROTHER (OF MAN)	hermano de hombre	84	YucuquimiOcampoMixtec	ɲa²ni²	ɲa²ni²	ɲ a ³ n i ³	ɲ a ³ n i ³	NA	swanton2021observaciones
18206	COCKROACH	cucaracha	9 59	SanMarcoslaFlorMixtec	tsìtse'é	tsì-tse'é	ts i ¹ + ts e ³ ʔ e ⁵	ts i ¹ + ts e ³ ʔ e ⁵	NA	anonymous2020san-marcos
18207	SALT	sal	624	SantiagoCacaloxtepecMixtec	i̧i̧	i̧i̧	ĩ ĩ	ĩ ĩ	NA	josserand1983mixtec
18209	MUD	lodo	449	SanMiguelAchiutlaMixtec	ⁿdeʔžu	ⁿdeʔžu	ⁿd e ʔ ʒ u	ⁿd e ʔ ʒ u	NA	josserand1983mixtec
18211	HORN (ANATOMY)	cuerno	350	SantaMariaApazcoMixtec	ⁿdiki	ⁿdiki	ⁿd i k i	ⁿd i k i	NA	josserand1983mixtec
18212	MOUNTAIN OR HILL	monte, cerro	4 440	SanMiguelChicahuaMixtec	ti-ⁿruu	ti-ⁿruu	t i + ⁿr u u	t i + ⁿr u u	NA	josserand1983mixtec
18213	FEATHER	pluma	227	SantaCatarinaEstetlaMixtec	tu̧mi̧	tu̧mi̧	t ũ m ĩ	t u m i	NA	josserand1983mixtec
18214	WATER	agua	402	SanMiguelElGrandeMixtec	ⁿduča	ⁿduča	ⁿd u ³ tʃ a³	ⁿd u ³ tʃ a³	NA	josserand1983mixtec
18218	RAT	ratón	444	SantaMariaHuazolotitlanMixtec	tɨ̧ñɨ̧	tɨ̧ñɨ̧	t ɨ̃ ɲ ɨ̃	t ɨ ɲ ɨ	NA	josserand1983mixtec
18219	GARBAGE	basura	279	SantiagoChazumbaMixtec	mi̧ʔi̧	mi̧ʔi̧	m ĩ ʔ ĩ	m i ʔ ĩ	NA	josserand1983mixtec
18222	LAZY	flojo/a, perezoso/a	377	SanPedroJicayanMixtec	suča̧	suča̧	s u tʃ ã	s u tʃ ã	NA	josserand1983mixtec
18223	WATER	agua	222 400	CahuatacheMixtec	ta-kʷii	ta-kʷii	t a + kʷ i i	t a + kʷ i i	NA	josserand1983mixtec
18224	HORN (ANATOMY)	cuerno	350	SantaCruzItundujiaMixtec	ⁿdɨkɨ	ⁿdɨkɨ	ⁿd ɨ k ɨ	ⁿd ɨ k ɨ	NA	josserand1983mixtec
18225	YEAR	año	872	SantiagoIxtaltepecMixtec	kʷiya	kʷiya	kʷ i j a	kʷ i ʒ a	NA	josserand1983mixtec
18226	CHARCOAL	carbón	4 39	ChalcatongoHidalgoMixtec	tikàží	ti-kàží	t ɨ ³ + k a ¹ ʒ i ⁵	t ɨ ³ + k a ¹ ʒ i ⁵	NA	macaulay1996grammar
18227	SWEET	dulce	735	SantaMariaChigmecatitlanMixtec	wiđi	wiđi	w i ð i	w i ð i	NA	josserand1983mixtec
18228	BLOOD	sangre	65	SanAgustinTlacotepecMixtec	ni̧ñi̧	ni̧ñi̧	n ĩ ɲ ĩ	n i ɲ i	NA	josserand1983mixtec
18229	RAIN (PRECIPITATION)	lluvia	586	SanPedroJocotipacMixtec	(ko̧o̧)-đawi	đawi	ð a w i	ð a w i	NA	josserand1983mixtec
18230	SLOW	despacio	662 1014	SantiagoIxtayutlaMixtec	kʷee(ñi)	kʷee-ñi	kʷ e e + ɲ i	kʷ e e + ɲ i	NA	josserand1983mixtec
18233	NIXTAMAL	nixtamal	141 492	SanJuanColoradoMixtec	nùñì tsaahá	nùñì-tsaahá	n u ¹ ɲ i ¹ + ts a ³ a ³ ʔ a ⁵	n u ¹ ɲ i ¹ + ts a ³ a ³ ʔ a ⁵	NA	stark1986diccionario
18234	GREEN BEAN	ejote	308	CosoltepecMixtec	ⁿǰiči	ⁿǰiči	ⁿdʃ i tʃ i	ⁿdʃ i tʃ i	NA	josserand1983mixtec
18238	YEAR	año	872	SanEstebanAtatlahucaMixtec	cuiyā	cuiyā	kʷ i ³ j a ¹	kʷ i ³ j a ¹	NA	alexander1980gramatica
18239	BLOUSE (WOVEN)	huipil	66	CuyamecalcoVillaZaragozaMixtec	điʰku̧	điʰku̧	ð i̥ k ũ	ð i k ũ	NA	josserand1983mixtec
18242	BASKET	canasta	19	ElJicaralMixtec	nto̠'ó	nto̠'ó	ⁿd o ¹ ʔ o ⁵	ⁿd o ¹ ʔ o ⁵	NA	martin2020diccionario
18243	BOX OR CHEST	caja	79	SanJuanMixtepecMixtec	čatu	čatu	tʃ a t u	tʃ a t u	NA	josserand1983mixtec
18245	RIVER	río	607	SanMartinPerasMixtec	ʔiȼá	ʔiȼá	ʔ i ts a ⁵	i tsʲ a ⁵	NA	josserand1983mixtec
18246	DEER	venado	164	SantaCatarinaMechoacanMixtec	isu	isu	i s u	i s u	NA	josserand1983mixtec
18247	BITTER	amargo	51	SanFranciscoSayultepecMixtec	uwa	uwa	u w a	u w a	NA	josserand1983mixtec
18249	EAR	oreja	194	LaBateaMixtec	só'o	só'o	s o ⁵ ʔ o ³	s o ⁵ ʔ o ³	NA	ramirez2020vocabulario
18250	STOOL	silla	717	SantaMariaJicaltepecMixtec	tāyū	tāyū	t a ³ j u ³	t a ³ j u ³	NA	durr1987preliminary
18251	NOSE	naríz	496	SanAntonioTepetlapaMixtec	šiti̧	šiti̧	ʃ i t ĩ	ʃ i t ĩ	NA	josserand1983mixtec
18253	BLACK	negro	55	LaBateaMixtec	nché'ì	nché'ì	ⁿdʃ e ⁵ ʔ i ¹	ⁿdʃ e ⁵ ʔ i ¹	NA	ramirez2020vocabulario
18254	CHILD (DESCENDANT)	hijo, hija	103	SantiagoJuxtlahuacaMixtec	seʔe	seʔe	s e ʔ e	s e ʔ e	NA	josserand1983mixtec
18255	WORD	palabra	863	SantiagoJamiltepecMixtec	tūhun	tūhun	t u ³ ʔ ũ ¹	t u ³ ʔ ũ ¹	NA	johnson1988syntactic
18256	DISEASE	enfermedad	172	SanPedroAtoyacMixtec	kʷeʔe	kʷeʔe	kʷ e ʔ e	kʷ e ʔ e	NA	josserand1983mixtec
18257	TOWN OR VILLAGE	pueblo	794	SantiagoNuyooMixtec	ñū̧ū̧	ñū̧ū̧	ɲ ũ ³ ũ ³	ɲ u ³ ũ ³	NA	josserand1983mixtec
18258	TOWN OR VILLAGE	pueblo	794	SanFranciscoSayultepecMixtec	ñu̧u̧	ñu̧u̧	ɲ ũ ũ	ɲ u ũ	NA	josserand1983mixtec
18261	HEAVY	pesado	326	SanPedroTidaaMixtec	wee	wee	w e e	w e e	NA	josserand1983mixtec
18262	CAT	gato	88	SantiagoPinotepaNacionalMixtec	(miču̧)	miču̧	m i tʃ ũ	m i tʃ ũ	NA	josserand1983mixtec
18264	CORN FIELD	milpa	148	SantaCatarinaTlaltempanMixtec	ⁿdiʔo	ⁿdiʔo	ⁿd i ʔ o	ⁿd i ʔ o	NA	josserand1983mixtec
18265	DISEASE	enfermedad	172	IxpantepecNievesMixtec	kʷèʔè	kʷèʔè	kʷ e ¹ ʔ e ¹	kʷ e ¹ ʔ e ¹	NA	josserand1983mixtec
18266	BLOOD	sangre	65	SanJuanTeitaMixtec	ni̧ñi̧	ni̧ñi̧	n ĩ ɲ ĩ	n i ɲ i	NA	josserand1983mixtec
18267	MAT	petate	416	SanPedroYosonamaMixtec	yuu	yuu	ʒ u u	ʒ u u	NA	gittlen2016gramatica
18268	FROG	rana	264	SanSebastianTecomaxtlahuacaMixtec	ko̧ⁿdo	ko̧ⁿdo	k õ ⁿd o	k õ ⁿd o	NA	josserand1983mixtec
18269	HORN (ANATOMY)	cuerno	350	SantaMariaAcatepecMixtec	ⁿdɨkɨ	ⁿdɨkɨ	ⁿd ɨ k ɨ	ⁿd ɨ k ɨ	NA	josserand1983mixtec
18270	THORN	espina	764	SanMartinDuraznosMixtec	iñù	iñù	i ³ ɲ u ¹	i ³ ɲ u ¹	NA	hernandez2020san-martin
18271	SWEET	dulce	735	SanAntonioTepetlapaMixtec	wiši̧	wiši̧	w i ʃ ĩ	w i ʃ ĩ	NA	josserand1983mixtec
18272	BIRD	pájaro	49	SanJuanCoatzospamMixtec	láā	láā	l a ⁵ a ¹	l a ⁵ a ¹	NA	small1990syntactic
18274	YEAR	año	872	SantiagoPinotepaNacionalMixtec	kʷia	kʷia	kʷ i a	kʷ i a	NA	josserand1983mixtec
18275	HEAVY	pesado	326	SantoDomingoTonahuixtlaMixtec	wee	wee	w e e	w e e	NA	josserand1983mixtec
18277	YEAR	año	872	SantosReyesTepejilloMixtec	kuia	kuia	k u i a	kʷ i a	NA	josserand1983mixtec
18278	CHILI PEPPER	chile	107	SanAndresYutatioMixtec	yá'a̠	yá'a̠	j a ⁵ ʔ a ¹	j a ⁵ ʔ a ¹	NA	williams2017diccionario
18279	NOW OR TODAY	ahora, hoy	501	SantiagoTamazolaMixtec	ƀiti	ƀiti	β i t i	β i t i	NA	josserand1983mixtec
18281	CORN STALK	rastrojo	150	SanMiguelAhuehuetitlanMixtec	ña̧ma̧	ña̧ma̧	ɲ ã m ã	ɲ a m a	NA	josserand1983mixtec
18284	DAY (24 HOURS)	día	163	SantiagoTilantongoMixtec	kɨu	kɨu	k ɨ u	k ɨ u	NA	josserand1983mixtec
18287	RIVER	río	607	SanJeronimoXayacatlanMixtec	žute	žute	ʒ u t e	ʒ u t e	NA	josserand1983mixtec
18288	PLAIN	llanura, llano	535	SanAgustinAtenangoMixtec	žoho	žoho	ʒ o h o	ʒ o h o	NA	josserand1983mixtec
18290	SMALL (SINGULAR)	pequeño.SG	674	SanJeronimoProgresoMixtec	lōhō	lōhō	l o ³ ʔ o ³	l o ³ ʔ o ³	NA	shields1988syntactic
18292	SMOOTH	liso/a	660	SanJuanCoatzospamMixtec	ndɨɨ́	ndɨɨ́	ⁿd ɨ ɨ ⁵	ⁿd ɨ ɨ ⁵	NA	small1990syntactic
18293	WOMAN	mujer	858	SanEstebanAtatlahucaMixtec	ñahan	ñahan	ɲ a ³ ʔ ã ³	ɲ a ³ ʔ ã ³	NA	alexander1980gramatica
18295	SQUASH	calabaza	570	SantiagoTlazoyaltepecMixtec	žɨkɨ̧	žɨkɨ̧	ʒ ɨ k ɨ̃	ʒ ɨ k ɨ̃	NA	josserand1983mixtec
18296	CORN FIELD	milpa	145	SantaMariaYolotepecMixtec	itu	itu	i t u	i t u	NA	josserand1983mixtec
18297	HORN (ANATOMY)	cuerno	350	SantaAnaCuauhtemocMixtec	ⁿdɨʰkɨ̧	ⁿdɨʰkɨ̧	ⁿd ɨ̥ k ɨ̃	ⁿd ɨ k ɨ̃	NA	josserand1983mixtec
18298	TREE	árbol	799	SanLorenzoMixtec	yutu̧	yutu̧	j u t ũ	j u t ũ	NA	josserand1983mixtec
18300	HONEY	miel	344	TepejilloMixtec	ⁿduđi	ⁿduđi	ⁿd u ð i	ⁿd u ð i	NA	josserand1983mixtec
18301	EIGHT	ocho	207	SanBartolomeYucuaneMixtec	u̧na̧	u̧na̧	ũ n ã	u n a	NA	josserand1983mixtec
18302	BEAN	frijol(es)	24	PiedraAzulMixtec	ntuchǐ	ntuchǐ	ⁿd u ³ tʃ i ¹⁵	ⁿd u ³ tʃ i ¹⁵	NA	mendoza2020vocabulario
