ID	CONCEPT	GLOSS	COGIDS	DOCULECT	SOURCE_ORIGINAL	SOURCE_ORTHOGRAPHIC	TOKENS_SOURCE	TOKENS	COMMENT	SOURCE
113	RIVER	río	607	AbasoloValleMixtec	yùcha	yùcha	ʒ u ¹ tʃ a ³	ʒ u ¹ tʃ a ³	NA	galindo-sanchez2009vocabulario
114	STONE OR ROCK	piedra	710	AbasoloValleMixtec	yùù	yùù	ʒ u ¹ u ¹	ʒ u ¹ u ¹	NA	galindo-sanchez2009vocabulario
115	COTTON	algodón	157	AbasoloValleMixtec	kàchi	kàchi	k a ¹ tʃ i ³	k a ¹ tʃ i ³	NA	galindo-sanchez2009vocabulario
116	IRON	fierro, metal	368	AbasoloValleMixtec	kaa	kaa	k a ³ a ³	k a ³ a ³	NA	galindo-sanchez2009vocabulario
117	PAPER	papel	520	AbasoloValleMixtec	tutu	tutu	t u ³ t u ³	t u ³ t u ³	NA	galindo-sanchez2009vocabulario
118	LIME (MATERIAL)	cal	399	AbasoloValleMixtec	kàkà	kàkà	k a ¹ k a ¹	k a ¹ k a ¹	NA	galindo-sanchez2009vocabulario
119	BEESWAX	cera	33	AbasoloValleMixtec	ñùma	ñùma	ɲ u ¹ m a ³	ɲ u ¹ m a ³	NA	galindo-sanchez2009vocabulario
120	MUD	lodo	449	AbasoloValleMixtec	nchá'í	nchá'í	ⁿdʃ a ⁵ ʔ i ⁵	ⁿdʃ a ⁵ ʔ i ⁵	NA	galindo-sanchez2009vocabulario
121	DUST	polvo	183	AbasoloValleMixtec	yaka	yaka	ʒ a ³ k a ³	ʒ a ³ k a ³	NA	galindo-sanchez2009vocabulario
122	RED	rojo	595	AbasoloValleMixtec	kua'a	kua'a	kʷ a ³ ʔ a ³	kʷ a ³ ʔ a ³	NA	galindo-sanchez2009vocabulario
123	GREEN	verde	305	AbasoloValleMixtec	kui	kui	kʷ i ³	kʷ i ³	NA	galindo-sanchez2009vocabulario
124	YELLOW	amarillo	876	AbasoloValleMixtec	kuan	kuan	kʷ ã ³	kʷ ã ³	NA	galindo-sanchez2009vocabulario
125	BLACK	negro	55	AbasoloValleMixtec	ncha'í	ncha'í	ⁿdʃ a ³ ʔ i ⁵	ⁿdʃ a ³ ʔ i ⁵	NA	galindo-sanchez2009vocabulario
126	WHITE	blanco	843	AbasoloValleMixtec	yaa	yaa	ʒ a ³ a ³	ʒ a ³ a ³	NA	galindo-sanchez2009vocabulario
127	ONE	uno	507	AbasoloValleMixtec	in	in	ĩ ³	ĩ ³	NA	galindo-sanchez2009vocabulario
128	TWO	dos	811	AbasoloValleMixtec	uvi	uvi	u ³ β i ³	u ³ β i ³	NA	galindo-sanchez2009vocabulario
129	THREE	tres	771	AbasoloValleMixtec	ùni	ùni	u ¹ n i ³	u ¹ n i ³	NA	galindo-sanchez2009vocabulario
130	FOUR	cuatro	260	AbasoloValleMixtec	kùmi	kùmi	k u ¹ m i ³	k u ¹ m i ³	NA	galindo-sanchez2009vocabulario
131	FIVE	cinco	244	AbasoloValleMixtec	u'un	u'un	u ³ ʔ ũ ³	u ³ ʔ ũ ³	NA	galindo-sanchez2009vocabulario
132	SIX	seis	652	AbasoloValleMixtec	ìñu	ìñu	i ¹ ɲ u ³	i ¹ ɲ u ³	NA	galindo-sanchez2009vocabulario
133	SEVEN	siete	638	AbasoloValleMixtec	utsa	utsa	u ³ ts a ³	u ³ ts a ³	NA	galindo-sanchez2009vocabulario
134	EIGHT	ocho	207	AbasoloValleMixtec	ùna	ùna	u ¹ n a ³	u ¹ n a ³	NA	galindo-sanchez2009vocabulario
135	NINE	nueve	490	AbasoloValleMixtec	ììn	ììn	ĩ ¹ ĩ ¹	ĩ ¹ ĩ ¹	NA	galindo-sanchez2009vocabulario
136	TEN	diez	761	AbasoloValleMixtec	utsi	utsi	u ³ ts i ³	u ³ ts i ³	NA	galindo-sanchez2009vocabulario
137	FIFTEEN	quinze	234	AbasoloValleMixtec	tsa'un	tsa'un	ts a ³ ʔ ũ ³	ts a ³ ʔ ũ ³	NA	galindo-sanchez2009vocabulario
138	TWENTY	veinte	809	AbasoloValleMixtec	oko	oko	o ³ k o ¹	o ³ k o ¹	NA	galindo-sanchez2009vocabulario
139	POOR	pobre	548	AbasoloValleMixtec	nta'vi	nta'vi	ⁿd a ³ ʔ β i ³	ⁿd a ³ ʔ β i ³	NA	galindo-sanchez2009vocabulario
